"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 05","661.32","608.91","661.32","608.91","-","9.09%"
"Aug 05","606.23","603.95","625.42","597.82","-","0.61%"
"Jul 05","602.56","565.68","603.72","560.80","-","6.62%"
"Jun 05","565.17","547.02","573.07","543.64","-","3.10%"
"May 05","548.15","533.04","553.88","532.43","-","3.04%"
"Apr 05","531.99","547.83","557.21","524.91","-","-2.86%"
"Mar 05","547.68","588.16","590.28","536.50","-","-6.96%"
"Feb 05","588.68","542.31","589.85","540.08","-","8.56%"
"Jan 05","542.28","541.85","544.06","517.39","-","0.02%"
"Dec 04","542.17","517.57","542.55","500.98","-","4.68%"
"Nov 04","517.95","475.00","518.29","474.01","-","9.21%"
"Oct 04","474.27","464.86","482.63","462.42","-","2.18%"
"Sep 04","464.15","440.27","467.71","440.04","-","5.55%"
"Aug 04","439.75","422.68","440.48","418.23","-","3.93%"
"Jul 04","423.14","433.37","434.08","416.39","-","-2.10%"
"Jun 04","432.20","431.55","436.56","409.63","-","0.22%"
"May 04","431.26","441.23","447.87","394.58","-","-2.28%"
"Apr 04","441.30","482.91","498.68","441.01","-","-7.38%"
"Mar 04","476.44","478.51","489.77","461.36","-","-0.27%"
"Feb 04","477.73","456.97","485.62","453.04","-","4.49%"
